Season;Round;Leg;HomeTeam;AwayTeam;Score;HomeGoals;AwayGoals;WinningTeam;LosingTeam
2013-2014;final;first leg;Real Madrid;Atlético Madrid;4–1;4;1;Real Madrid;Atlético Madrid
2013-2014;semis;first leg;Real Madrid;Bayern Munich;1–0;1;0;Real Madrid;Bayern Munich
2013-2014;semis;second_leg;Bayern Munich;Real Madrid;0–4;0;4;Real Madrid;Bayern Munich
2013-2014;semis;first leg;Atlético Madrid;Chelsea;0–0;0;0;Draw;Draw
2013-2014;semis;second_leg;Chelsea;Atlético Madrid;1–3;1;3;Atlético Madrid;Chelsea
2013-2014;quarter;first leg;Manchester United;Bayern Munich;1–1;1;1;Draw;Draw
2013-2014;quarter;second_leg;Bayern Munich;Manchester United;3–1;3;1;Bayern Munich;Manchester United
2013-2014;quarter;first leg;Barcelona;Atlético Madrid;1–1;1;1;Draw;Draw
2013-2014;quarter;second_leg;Atlético Madrid;Barcelona;1–0;1;0;Atlético Madrid;Barcelona
2013-2014;quarter;first leg;Real Madrid;Borussia Dortmund;3–0;3;0;Real Madrid;Borussia Dortmund
2013-2014;quarter;second_leg;Borussia Dortmund;Real Madrid;2–0;2;0;Borussia Dortmund;Real Madrid
2013-2014;quarter;first leg;Paris Saint Germain;Chelsea;3–1;3;1;Paris Saint Germain;Chelsea
2013-2014;quarter;second_leg;Chelsea;Paris Saint Germain;2–0;2;0;Chelsea;Paris Saint Germain
2013-2014;sixteen;first leg;Arsenal;Bayern Munich;0–2;0;2;Bayern Munich;Arsenal
2013-2014;sixteen;second_leg;Bayern Munich;Arsenal;1–1;1;1;Draw;Draw
2013-2014;sixteen;first leg;Olympiacos;Manchester United;2–0;2;0;Olympiacos;Manchester United
2013-2014;sixteen;second_leg;Manchester United;Olympiacos;3–0;3;0;Manchester United;Olympiacos
2013-2014;sixteen;first leg;Zenit;Borussia Dortmund;2–4;2;4;Borussia Dortmund;Zenit
2013-2014;sixteen;second_leg;Borussia Dortmund;Zenit;1–2;1;2;Zenit;Borussia Dortmund
