Season;League;Position;Team;GamesPlayed;Wins;Draws;Losses;GoalsFavour;GoalsAgainst;GoalDifference;Points;LeagueWeight;Year;HistoricalPoints;HistoricalPosition
2023-2024;bundesliga;8;1. FC Heidenheim 1846;34;0.29411764705882354;0.35294117647058826;0.35294117647058826;1.4705882352941178;1.6176470588235294;-0.14705882352941177;1.2352941176470589;-0.3306736274989625;2023;1.2352941176470589;8.0
2020-2021;bundesliga;7;1. FC Union Berlin;34;0.35294117647058826;0.4117647058823529;0.23529411764705882;1.4705882352941178;1.2647058823529411;0.20588235294117646;1.4705882352941178;-0.3306736274989625;2020;1.4705882352941178;7.0
2021-2022;bundesliga;5;1. FC Union Berlin;34;0.47058823529411764;0.2647058823529412;0.2647058823529412;1.4705882352941178;1.2941176470588236;0.17647058823529413;1.6764705882352942;-0.3306736274989625;2021;1.4705882352941178;7.0
2022-2023;bundesliga;4;1. FC Union Berlin;34;0.5294117647058824;0.23529411764705882;0.23529411764705882;1.5;1.1176470588235294;0.38235294117647056;1.8235294117647058;-0.3306736274989625;2022;1.5987416270121466;5.75508133759629
2023-2024;bundesliga;15;1. FC Union Berlin;34;0.2647058823529412;0.17647058823529413;0.5588235294117647;0.9705882352941176;1.7058823529411764;-0.7352941176470589;0.9705882352941176;-0.3306736274989625;2023;1.712592232138157;4.8661670553960406
2013-2014;serie-a;8;AC Milan;38;0.42105263157894735;0.23684210526315788;0.34210526315789475;1.5;1.2894736842105263;0.21052631578947367;1.5;-0.5541017541874508;2013;1.5;8.0
2016-2017;serie-a;6;AC Milan;38;0.47368421052631576;0.23684210526315788;0.2894736842105263;1.5;1.1842105263157894;0.3157894736842105;1.6578947368421053;-0.5541017541874508;2016;1.5;8.0
2017-2018;serie-a;6;AC Milan;38;0.47368421052631576;0.2631578947368421;0.2631578947368421;1.4736842105263157;1.105263157894737;0.3684210526315789;1.6842105263157894;-0.5541017541874508;2017;1.6290907067674174;6.364851047612712
2018-2019;serie-a;5;AC Milan;38;0.5;0.2894736842105263;0.21052631578947367;1.4473684210526316;0.9473684210526315;0.5;1.7894736842105263;-0.5541017541874508;2018;1.66073482942306;6.1553911582971415
2019-2020;serie-a;6;AC Milan;38;0.5;0.23684210526315788;0.2631578947368421;1.6578947368421053;1.2105263157894737;0.4473684210526316;1.736842105263158;-0.5541017541874508;2019;1.7233359291379429;5.593565769764208
2020-2021;serie-a;2;AC Milan;38;0.631578947368421;0.18421052631578946;0.18421052631578946;1.9473684210526316;1.0789473684210527;0.868421052631579;2.0789473684210527;-0.5541017541874508;2020;1.7293458129445969;5.774418031434624
2021-2022;serie-a;1;AC Milan;38;0.6842105263157895;0.21052631578947367;0.10526315789473684;1.8157894736842106;0.8157894736842105;1.0;2.263157894736842;-0.5541017541874508;2021;1.877289429656415;4.177168117052178
2022-2023;serie-a;4;AC Milan;38;0.5263157894736842;0.2631578947368421;0.21052631578947367;1.6842105263157894;1.131578947368421;0.5526315789473685;1.8421052631578947;-0.5541017541874508;2022;2.03586923575055;2.871451922219861
2023-2024;serie-a;2;AC Milan;38;0.5789473684210527;0.23684210526315788;0.18421052631578946;2.0;1.2894736842105263;0.7105263157894737;1.9736842105263157;-0.5541017541874508;2023;1.95760784856751;3.327273181910399
2016-2017;la-liga;9;Alaves;38;0.3684210526315789;0.34210526315789475;0.2894736842105263;1.0789473684210527;1.131578947368421;-0.05263157894736842;1.4473684210526316;1.367380135333548;2016;1.4473684210526316;9.0
2018-2019;la-liga;11;Alaves;38;0.34210526315789475;0.2894736842105263;0.3684210526315789;1.0263157894736843;1.3157894736842106;-0.2894736842105263;1.3157894736842106;1.367380135333548;2018;1.4473684210526316;9.0
2023-2024;la-liga;10;Alaves;38;0.3157894736842105;0.2631578947368421;0.42105263157894735;0.9473684210526315;1.2105263157894737;-0.2631578947368421;1.2105263157894737;1.367380135333548;2023;1.3511765028118417;10.46211715726001
2019-2020;ligue-1;11;Angers;28;0.39285714285714285;0.21428571428571427;0.39285714285714285;1.0;1.1785714285714286;-0.17857142857142858;1.3928571428571428;-1.1350148835775202;2019;1.3928571428571428;11.0
2021-2022;ligue-1;14;Angers;38;0.2631578947368421;0.2894736842105263;0.4473684210526316;1.1578947368421053;1.4473684210526316;-0.2894736842105263;1.0789473684210527;-1.1350148835775202;2021;1.3928571428571428;11.0
2013-2014;premier-league;4;Arsenal;38;0.631578947368421;0.18421052631578946;0.18421052631578946;1.7894736842105263;1.0789473684210527;0.7105263157894737;2.0789473684210527;0.6524101299303857;2013;2.0789473684210527;4.0
2014-2015;premier-league;3;Arsenal;38;0.5789473684210527;0.23684210526315788;0.18421052631578946;1.868421052631579;0.9473684210526315;0.9210526315789473;1.9736842105263157;0.6524101299303857;2014;2.0789473684210527;4.0
2015-2016;premier-league;2;Arsenal;38;0.5263157894736842;0.2894736842105263;0.18421052631578946;1.7105263157894737;0.9473684210526315;0.7631578947368421;1.868421052631579;0.6524101299303857;2015;2.0134253335576995;3.3775406687981455
2016-2017;premier-league;5;Arsenal;38;0.6052631578947368;0.15789473684210525;0.23684210526315788;2.026315789473684;1.1578947368421053;0.868421052631579;1.9736842105263157;0.6524101299303857;2016;1.9399835086494939;2.6798433321701935
2017-2018;premier-league;6;Arsenal;38;0.5;0.15789473684210525;0.34210526315789475;1.9473684210526316;1.3421052631578947;0.6052631578947368;1.6578947368421053;0.6524101299303857;2017;1.9553191557247327;3.7356404472317806
2018-2019;premier-league;5;Arsenal;38;0.5526315789473685;0.18421052631578946;0.2631578947368421;1.9210526315789473;1.3421052631578947;0.5789473684210527;1.8421052631578947;0.6524101299303857;2018;1.8278265341773583;4.7062706886652705
2019-2020;premier-league;8;Arsenal;38;0.3684210526315789;0.3684210526315789;0.2631578947368421;1.4736842105263157;1.263157894736842;0.21052631578947367;1.4736842105263157;0.6524101299303857;2019;1.833739147955897;4.827899719913481
2020-2021;premier-league;8;Arsenal;38;0.47368421052631576;0.18421052631578946;0.34210526315789475;1.4473684210526316;1.0263157894736843;0.42105263157894735;1.605263157894737;0.6524101299303857;2020;1.6876572790519284;6.114887590636593
2021-2022;premier-league;5;Arsenal;38;0.5789473684210527;0.07894736842105263;0.34210526315789475;1.605263157894737;1.263157894736842;0.34210526315789475;1.8157894736842106;0.6524101299303857;2021;1.6546328551336558;6.870460324055823
2022-2023;premier-league;2;Arsenal;38;0.6842105263157895;0.15789473684210525;0.15789473684210525;2.3157894736842106;1.131578947368421;1.1842105263157894;2.210526315789474;0.6524101299303857;2022;1.718755380429217;6.126223813496447
2023-2024;premier-league;2;Arsenal;38;0.7368421052631579;0.13157894736842105;0.13157894736842105;2.3947368421052633;0.7631578947368421;1.631578947368421;2.3421052631578947;0.6524101299303857;2023;1.913564781356289;4.491667699257202
2013-2014;premier-league;15;Aston Villa;38;0.2631578947368421;0.21052631578947367;0.5263157894736842;1.0263157894736843;1.605263157894737;-0.5789473684210527;1.0;0.6524101299303857;2013;1.0;15.0
2014-2015;premier-league;17;Aston Villa;38;0.2631578947368421;0.21052631578947367;0.5263157894736842;0.8157894736842105;1.5;-0.6842105263157895;1.0;0.6524101299303857;2014;1.0;15.0
2015-2016;premier-league;20;Aston Villa;38;0.07894736842105263;0.21052631578947367;0.7105263157894737;0.7105263157894737;2.0;-1.2894736842105263;0.4473684210526316;0.6524101299303857;2015;1.0;16.24491866240371
2019-2020;premier-league;17;Aston Villa;38;0.23684210526315788;0.21052631578947367;0.5526315789473685;1.0789473684210527;1.763157894736842;-0.6842105263157895;0.9210526315789473;0.6524101299303857;2019;0.7201029417850333;18.146793726715266
2020-2021;premier-league;11;Aston Villa;38;0.42105263157894735;0.18421052631578946;0.39473684210526316;1.4473684210526316;1.2105263157894737;0.23684210526315788;1.4473684210526316;0.6524101299303857;2020;0.878679744356214;17.241816552688782
2021-2022;premier-league;14;Aston Villa;38;0.34210526315789475;0.15789473684210525;0.5;1.368421052631579;1.4210526315789473;-0.05263157894736842;1.1842105263157894;0.6524101299303857;2021;1.2002270932680452;13.712575252210986
2022-2023;premier-league;7;Aston Villa;38;0.47368421052631576;0.18421052631578946;0.34210526315789475;1.3421052631578947;1.2105263157894737;0.13157894736842105;1.605263157894737;0.6524101299303857;2022;1.1924997385141332;13.851246229446001
2023-2024;premier-league;4;Aston Villa;38;0.5263157894736842;0.21052631578947367;0.2631578947368421;2.0;1.605263157894737;0.39473684210526316;1.7894736842105263;0.6524101299303857;2023;1.3753680342762877;10.815910094994571
2013-2014;serie-a;11;Atalanta;38;0.39473684210526316;0.13157894736842105;0.47368421052631576;1.131578947368421;1.3421052631578947;-0.21052631578947367;1.3157894736842106;-0.5541017541874508;2013;1.3157894736842106;11.0
2016-2017;serie-a;4;Atalanta;38;0.5526315789473685;0.23684210526315788;0.21052631578947367;1.631578947368421;1.0789473684210527;0.5526315789473685;1.894736842105263;-0.5541017541874508;2016;1.3157894736842106;11.0
2017-2018;serie-a;7;Atalanta;38;0.42105263157894735;0.3157894736842105;0.2631578947368421;1.5;1.0263157894736843;0.47368421052631576;1.5789473684210527;-0.5541017541874508;2017;1.789122065164741;5.276978666644494
