Season;Round;Leg;HomeTeam;AwayTeam;Score
2013-2014;final;first leg;Real Madrid;Atlético Madrid;4–1
2013-2014;semis;first leg;Real Madrid;Bayern Munich;1–0
2013-2014;semis;second_leg;Bayern Munich;Real Madrid;0–4
2013-2014;semis;first leg;Atlético Madrid;Chelsea;0–0
2013-2014;semis;second_leg;Chelsea;Atlético Madrid;1–3
2013-2014;quarter;first leg;Manchester Utd;Bayern Munich;1–1
2013-2014;quarter;second_leg;Bayern Munich;Manchester Utd;3–1
2013-2014;quarter;first leg;Barcelona;Atlético Madrid;1–1
2013-2014;quarter;second_leg;Atlético Madrid;Barcelona;1–0
2013-2014;quarter;first leg;Real Madrid;Dortmund;3–0
2013-2014;quarter;second_leg;Dortmund;Real Madrid;2–0
2013-2014;quarter;first leg;Paris S-G;Chelsea;3–1
2013-2014;quarter;second_leg;Chelsea;Paris S-G;2–0
2013-2014;sixteen;first leg;Arsenal;Bayern Munich;0–2
2013-2014;sixteen;second_leg;Bayern Munich;Arsenal;1–1
2013-2014;sixteen;first leg;Olympiacos;Manchester Utd;2–0
2013-2014;sixteen;second_leg;Manchester Utd;Olympiacos;3–0
2013-2014;sixteen;first leg;Zenit;Dortmund;2–4
2013-2014;sixteen;second_leg;Dortmund;Zenit;1–2
2013-2014;sixteen;first leg;Manchester City;Barcelona;0–2
2013-2014;sixteen;second_leg;Barcelona;Manchester City;2–1
2013-2014;sixteen;first leg;Schalke 04;Real Madrid;1–6
2013-2014;sixteen;second_leg;Real Madrid;Schalke 04;3–1
2013-2014;sixteen;first leg;Leverkusen;Paris S-G;0–4
2013-2014;sixteen;second_leg;Paris S-G;Leverkusen;2–1
2013-2014;sixteen;first leg;Milan;Atlético Madrid;0–1
2013-2014;sixteen;second_leg;Atlético Madrid;Milan;4–1
2013-2014;sixteen;first leg;Galatasaray;Chelsea;1–1
2013-2014;sixteen;second_leg;Chelsea;Galatasaray;2–0
2014-2015;final;first leg;Barcelona;Juventus;3–1
2014-2015;semis;first leg;Barcelona;Bayern Munich;3–0
2014-2015;semis;second_leg;Bayern Munich;Barcelona;3–2
2014-2015;semis;first leg;Juventus;Real Madrid;2–1
2014-2015;semis;second_leg;Real Madrid;Juventus;1–1
2014-2015;quarter;first leg;Porto;Bayern Munich;3–1
2014-2015;quarter;second_leg;Bayern Munich;Porto;6–1
2014-2015;quarter;first leg;Atlético Madrid;Real Madrid;0–0
2014-2015;quarter;second_leg;Real Madrid;Atlético Madrid;1–0
2014-2015;quarter;first leg;Paris S-G;Barcelona;1–3
2014-2015;quarter;second_leg;Barcelona;Paris S-G;2–0
2014-2015;quarter;first leg;Juventus;Monaco;1–0
2014-2015;quarter;second_leg;Monaco;Juventus;0–0
2014-2015;sixteen;first leg;Arsenal;Monaco;1–3
2014-2015;sixteen;second_leg;Monaco;Arsenal;0–2
2014-2015;sixteen;first leg;Juventus;Dortmund;2–1
2014-2015;sixteen;second_leg;Dortmund;Juventus;0–3
2014-2015;sixteen;first leg;Manchester City;Barcelona;1–2
2014-2015;sixteen;second_leg;Barcelona;Manchester City;1–0
2014-2015;sixteen;first leg;Schalke 04;Real Madrid;0–2
2014-2015;sixteen;second_leg;Real Madrid;Schalke 04;3–4
2014-2015;sixteen;first leg;Leverkusen;Atlético Madrid;1–0
2014-2015;sixteen;second_leg;Atlético Madrid;Leverkusen;1–0
2014-2015;sixteen;first leg;Paris S-G;Chelsea;1–1
2014-2015;sixteen;second_leg;Chelsea;Paris S-G;2–2
2014-2015;sixteen;first leg;Basel;Porto;1–1
2014-2015;sixteen;second_leg;Porto;Basel;4–0
2014-2015;sixteen;first leg;Shakhtar;Bayern Munich;0–0
2014-2015;sixteen;second_leg;Bayern Munich;Shakhtar;7–0
2015-2016;final;first leg;Real Madrid;Atlético Madrid;1–1
2015-2016;semis;first leg;Atlético Madrid;Bayern Munich;1–0
2015-2016;semis;second_leg;Bayern Munich;Atlético Madrid;2–1
2015-2016;semis;first leg;Manchester City;Real Madrid;0–0
2015-2016;semis;second_leg;Real Madrid;Manchester City;1–0
2015-2016;quarter;first leg;Barcelona;Atlético Madrid;2–1
2015-2016;quarter;second_leg;Atlético Madrid;Barcelona;2–0
2015-2016;quarter;first leg;Wolfsburg;Real Madrid;2–0
2015-2016;quarter;second_leg;Real Madrid;Wolfsburg;3–0
2015-2016;quarter;first leg;Bayern Munich;Benfica;1–0
2015-2016;quarter;second_leg;Benfica;Bayern Munich;2–2
2015-2016;quarter;first leg;Paris S-G;Manchester City;2–2
2015-2016;quarter;second_leg;Manchester City;Paris S-G;1–0
2015-2016;sixteen;first leg;Arsenal;Barcelona;0–2
2015-2016;sixteen;second_leg;Barcelona;Arsenal;3–1
2015-2016;sixteen;first leg;Gent;Wolfsburg;2–3
2015-2016;sixteen;second_leg;Wolfsburg;Gent;1–0
2015-2016;sixteen;first leg;Benfica;Zenit;1–0
2015-2016;sixteen;second_leg;Zenit;Benfica;1–2
2015-2016;sixteen;first leg;Dynamo Kyiv;Manchester City;1–3
2015-2016;sixteen;second_leg;Manchester City;Dynamo Kyiv;0–0
2015-2016;sixteen;first leg;Roma;Real Madrid;0–2
2015-2016;sixteen;second_leg;Real Madrid;Roma;2–0
2015-2016;sixteen;first leg;Paris S-G;Chelsea;2–1
2015-2016;sixteen;second_leg;Chelsea;Paris S-G;1–2
2015-2016;sixteen;first leg;Juventus;Bayern Munich;2–2
2015-2016;sixteen;second_leg;Bayern Munich;Juventus;4–2
2015-2016;sixteen;first leg;PSV Eindhoven;Atlético Madrid;0–0
2015-2016;sixteen;second_leg;Atlético Madrid;PSV Eindhoven;0–0
2016-2017;final;first leg;Real Madrid;Juventus;4–1
2016-2017;semis;first leg;Real Madrid;Atlético Madrid;3–0
2016-2017;semis;second_leg;Atlético Madrid;Real Madrid;2–1
2016-2017;semis;first leg;Monaco;Juventus;0–2
2016-2017;semis;second_leg;Juventus;Monaco;2–1
2016-2017;quarter;first leg;Bayern Munich;Real Madrid;1–2
2016-2017;quarter;second_leg;Real Madrid;Bayern Munich;4–2
2016-2017;quarter;first leg;Juventus;Barcelona;3–0
2016-2017;quarter;second_leg;Barcelona;Juventus;0–0
2016-2017;quarter;first leg;Atlético Madrid;Leicester City;1–0
