Season;League;Position;Team;GamesPlayed;Wins;Draws;Losses;GoalsFavour;GoalsAgainst;GoalDifference;Points
2013-2014;champions-league;1;Manchester United;6;4;2;0;12;3;9;14
2013-2014;champions-league;2;Bayer Leverkusen;6;3;1;2;9;10;-1;10
2013-2014;champions-league;4;Real Sociedad;6;0;1;5;1;10;-9;1
2013-2014;champions-league;1;Real Madrid;6;5;1;0;20;5;15;16
2013-2014;champions-league;3;Juventus;6;1;3;2;9;9;0;6
2013-2014;champions-league;1;Paris Saint-Germain;6;4;1;1;16;5;11;13
2013-2014;champions-league;1;Bayern Munich;6;5;0;1;17;5;12;15
2013-2014;champions-league;2;Manchester City;6;5;0;1;18;10;8;15
2013-2014;champions-league;1;Chelsea;6;4;0;2;12;3;9;12
2013-2014;champions-league;1;Borussia Dortmund;6;4;0;2;11;6;5;12
2013-2014;champions-league;2;Arsenal;6;4;0;2;8;5;3;12
2013-2014;champions-league;3;Napoli;6;4;0;2;10;9;1;12
2013-2014;champions-league;4;Marseille;6;0;0;6;5;14;-9;0
2013-2014;champions-league;1;Atletico Madrid;6;5;1;0;15;3;12;16
2013-2014;champions-league;1;Barcelona;6;4;1;1;16;5;11;13
2013-2014;champions-league;2;AC Milan;6;2;3;1;8;5;3;9
2013-2014;champions-league;3;Ajax;6;2;2;2;5;8;-3;8
2013-2014;champions-league;4;Celtic;6;1;0;5;3;14;-11;3
2014-2015;champions-league;1;Atletico Madrid;6;4;1;1;14;3;11;13
2014-2015;champions-league;2;Juventus;6;3;1;2;7;4;3;10
2014-2015;champions-league;1;Real Madrid;6;6;0;0;16;2;14;18
2014-2015;champions-league;3;Liverpool;6;1;2;3;5;9;-4;5
2014-2015;champions-league;1;Monaco;6;3;2;1;4;1;3;11
2014-2015;champions-league;2;Bayer Leverkusen;6;3;1;2;7;4;3;10
2014-2015;champions-league;1;Borussia Dortmund;6;4;1;1;14;4;10;13
2014-2015;champions-league;2;Arsenal;6;4;1;1;15;8;7;13
2014-2015;champions-league;1;Bayern Munich;6;5;0;1;16;4;12;15
2014-2015;champions-league;2;Manchester City;6;2;2;2;9;8;1;8
2014-2015;champions-league;3;Roma;6;1;2;3;8;14;-6;5
2014-2015;champions-league;1;Barcelona;6;5;0;1;15;5;10;15
2014-2015;champions-league;2;Paris Saint-Germain;6;4;1;1;10;7;3;13
2014-2015;champions-league;3;Ajax;6;1;2;3;8;10;-2;5
2014-2015;champions-league;1;Chelsea;6;4;2;0;17;3;14;14
2014-2015;champions-league;3;Athletic Bilbao;6;2;1;3;5;6;-1;7
2015-2016;champions-league;1;Real Madrid;6;5;1;0;19;3;16;16
2015-2016;champions-league;2;Paris Saint-Germain;6;4;1;1;12;1;11;13
2015-2016;champions-league;1;Wolfsburg;6;4;0;2;9;6;3;12
2015-2016;champions-league;2;PSV Eindhoven;6;3;1;2;8;7;1;10
2015-2016;champions-league;3;Manchester United;6;2;2;2;7;7;0;8
2015-2016;champions-league;1;Atletico Madrid;6;4;1;1;11;3;8;13
2015-2016;champions-league;1;Manchester City;6;4;0;2;12;8;4;12
2015-2016;champions-league;2;Juventus;6;3;2;1;6;3;3;11
2015-2016;champions-league;3;Sevilla;6;2;0;4;8;11;-3;6
2015-2016;champions-league;4;M'gladbach;6;1;2;3;8;12;-4;5
2015-2016;champions-league;1;Barcelona;6;4;2;0;15;4;11;14
2015-2016;champions-league;2;Roma;6;1;3;2;11;16;-5;6
2015-2016;champions-league;3;Bayer Leverkusen;6;1;3;2;13;12;1;6
